photo-count,list-view-price,list-view-date,left,celly,celly 2,celly 3,celly 4,list-view-header,list-view-location,img-wrp href,he-lazy-image src,he-lazy-image src 2,city,district,neighborhood,room,living_room,area,age,floor,price
20,10000,27-03-2024,Kiralık Daire,1 +                        1,50 m²,5                       Yaşında,1. Kat,Markadan Adatepe Mahallesinde Eşyalı Balkonlu Klimalı 1+1 Kiralık Daire,"Buca, Yaylacık Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/marka-gayrimenkul-71024,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/1/6/9/1/4/2/4/c5563830-5983-4712-b429-51c438fdbe14.jpg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/2/0/1/7/0/7dda055d-5082-46bd-ad38-896553f4ebda.jpg,izmir,buca,yaylacik,1,1,50,5,1,10000
16,13000,15-04-2024,Kiralık Daire,3 +                        1,120 m²,15                       Yaşında,0. Kat,Çınar Emlak’tan Gaziemir Sarnıç’ta Kiralık Bahçeli 3+1 Daire,"Gaziemir, Hürriyet Mahallesi",,,,izmir,gaziemir,hurriyet,3,1,120,15,0,13000
22,25000,09-03-2024,Kiralık Daire,2 +                        1,87 m²,16                       Yaşında,6. Kat,Olimpiyat Köyün De  Eşyalı Kiralık Daire,"Balçova, Çetin Emeç Mahallesi",,,,izmir,balcova,cetin_emec,2,1,87,16,6,25000
35,15000,09-04-2024,Kiralık Daire,1 +                        1,70 m²,26                       Yaşında,0. Kat,Siyo'dan Ekonomi Üni. Yakını Komple Eşyalı 2+1 Loft Daire,"Balçova, Çetin Emeç Mahallesi",,,,izmir,balcova,cetin_emec,1,1,70,26,0,15000
34,12500,05-04-2024,Kiralık Daire,1 +                        1,60 m²,4                       Yaşında,3. Kat,Poyraz Gayrimenkul'den Mithatpaşa Mah. 1+1 55m2 Kiralık Daire,"Menderes, Mithatpaşa Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/poyraz-gayrimenkul-144308,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/2/0/6/4/2/4/cd001bb4-6ee6-4ccc-b3f0-da95c67f95b7.jpeg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/0/3/4/4/1/f4df352f-483f-454d-82d8-41677fbb0734.jpg,izmir,menderes,mithatpasa,1,1,60,4,3,12500
35,10500,01-04-2024,Kiralık Daire,2 +                        1,110 m²,16                       Yaşında,1. Kat,Ödemiş Hürriyet Mah: Yüksek Giriş 3+1. 110m Eşyalı Kiralık.....,"Ödemiş, Cumhuriyet Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/1/7/1/4/4/2/4/ed9f42bc-7d48-4b36-89b8-ee806d71a67d.jpeg,,izmir,odemis,cumhuriyet,2,1,110,16,1,10500
37,12000,29-03-2024,Kiralık Daire,2 +                        1,110 m²,31                       Yaşında,1. Kat,İzmir Karabağlar Çalıkuşu Mah 2+1 Doğalgazlı Kiralık Daire,"Karabağlar, Çalıkuşu Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-pasha-140180,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/7/9/1/3/4/2/4/ea439c89-dc8d-4c6c-8a9e-7b1527ae7f99.jpeg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/8/1/0/4/1/7f582be0-e912-4e28-a7f0-d4ff3eccb284.jpg,izmir,karabaglar,calikusu,2,1,110,31,1,12000
35,18000,22-03-2024,Kiralık Daire,1 +                        1,65 m²,3                       Yaşında,1. Kat,K. Yaka Zübeyde Hanım Mh. De Full Eşyalı 55 M² 1+1 D.Gaz Kombili Her Yere Yakın Daire,"Karşıyaka, Zübeyde Hanım Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/3/3/6/3/2/4/2bd46bbb-0af3-49cd-8d44-cd8690b2f8a6.jpg,,izmir,karsiyaka,zubeyde_hanim,1,1,65,3,1,18000
55,22000,12-03-2024,Kiralık Daire,3 +                        1,120 m²,29                       Yaşında,1. Kat,Gaziemir Sevgi Mah. Emlak Konut 2 Nci Etap Da Kiralık 3+1 Daire,"Gaziemir, Sevgi Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/2/0/4/4/3/2/4/ac2e557c-b1a0-4eae-91e3-ec72cdfbf2aa.jpg,,izmir,gaziemir,sevgi,3,1,120,29,1,22000
45,20000,20-03-2024,Kiralık Daire,2 +                        1,135 m²,49                       Yaşında,2. Kat,"Bahçelievlere, Cadde Üzerinde, Hürriyet Parkı Yanına, Eşyalı Kiralık Daire...","Karabağlar, Bahçelievler Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/9/5/0/2/3/2/4/b9aedbfc-a9d6-44b6-af0e-3b55e7548587.jpg,,izmir,karabaglar,bahcelievler,2,1,135,49,2,20000
